produto,quantidade,preco_unitario,data_venda,total_venda
Açaí com Leite Condensado,7,18.0,2024-06-14,126.0
Açaí com Leite Condensado,4,10.0,2024-12-09,40.0
Açaí com Granola,2,20.0,2024-10-04,40.0
Açaí Premium,7,12.0,2024-05-09,84.0
Açaí Premium,6,20.0,2024-01-31,120.0
Açaí com Nutella,3,20.0,2024-01-11,60.0
Açaí com Leite Condensado,6,18.0,2024-10-28,108.0
Açaí com Leite Condensado,6,12.0,2024-04-05,72.0
Açaí Vegano,5,10.0,2024-07-08,50.0
Açaí Vegano,4,10.0,2024-07-10,40.0
Açaí com Granola,1,15.0,2024-09-22,15.0
Açaí Tradicional,6,10.0,2024-05-07,60.0
Açaí Vegano,2,18.0,2024-08-25,36.0
Açaí com Leite Condensado,3,20.0,2024-12-20,60.0
Açaí com Nutella,8,20.0,2024-04-21,160.0
Açaí com Granola,6,20.0,2024-11-11,120.0
Açaí com Nutella,3,12.0,2024-12-08,36.0
Açaí Vegano,7,10.0,2024-05-24,70.0
Açaí com Granola,4,18.0,2024-03-05,72.0
Açaí com Nutella,9,12.0,2024-09-03,108.0
Açaí Tradicional,5,15.0,2024-08-10,75.0
Açaí com Granola,3,18.0,2024-11-08,54.0
Açaí Premium,2,18.0,2024-04-15,36.0
Açaí com Nutella,2,18.0,2024-06-29,36.0
Açaí Tradicional,3,20.0,2024-07-02,60.0
Açaí com Granola,2,18.0,2024-08-13,36.0
Açaí Tradicional,4,10.0,2024-09-21,40.0
Açaí com Granola,2,18.0,2024-10-04,36.0
Açaí com Leite Condensado,9,20.0,2024-03-29,180.0
Açaí com Granola,2,18.0,2024-06-24,36.0
Açaí com Granola,9,15.0,2024-01-18,135.0
Açaí com Leite Condensado,6,15.0,2024-04-15,90.0
Açaí Premium,1,20.0,2024-09-27,20.0
Açaí com Nutella,4,10.0,2024-11-14,40.0
Açaí com Nutella,1,10.0,2024-06-15,10.0
Açaí Tradicional,6,12.0,2024-01-13,72.0
Açaí com Granola,4,20.0,2024-12-02,80.0
Açaí Tradicional,3,18.0,2024-02-01,54.0
Açaí com Nutella,3,20.0,2024-02-09,60.0
Açaí com Nutella,9,12.0,2024-05-27,108.0
Açaí com Nutella,6,20.0,2024-08-05,120.0
Açaí Premium,9,20.0,2024-08-06,180.0
Açaí com Granola,5,12.0,2024-03-22,60.0
Açaí Premium,2,10.0,2024-11-28,20.0
Açaí Premium,8,18.0,2024-07-26,144.0
Açaí Vegano,5,12.0,2024-07-19,60.0
Açaí Premium,2,15.0,2024-11-27,30.0
Açaí com Granola,4,10.0,2024-02-07,40.0
Açaí Tradicional,9,15.0,2024-07-29,135.0
Açaí Premium,4,10.0,2024-11-22,40.0
Açaí com Granola,4,18.0,2024-09-05,72.0
Açaí com Leite Condensado,2,18.0,2024-08-14,36.0
Açaí Vegano,6,20.0,2024-02-17,120.0
Açaí com Nutella,2,15.0,2024-01-18,30.0
Açaí Vegano,7,10.0,2024-10-21,70.0
Açaí com Granola,3,18.0,2024-07-14,54.0
Açaí Premium,3,12.0,2024-07-05,36.0
Açaí com Granola,5,18.0,2024-12-10,90.0
Açaí Vegano,3,12.0,2024-08-11,36.0
Açaí com Granola,2,10.0,2024-11-13,20.0
Açaí Premium,9,18.0,2024-12-30,162.0
Açaí com Granola,2,18.0,2024-12-02,36.0
Açaí com Nutella,2,10.0,2024-08-16,20.0
Açaí com Nutella,8,18.0,2024-03-17,144.0
Açaí com Nutella,9,12.0,2024-07-06,108.0
Açaí com Nutella,7,18.0,2024-12-11,126.0
Açaí com Nutella,3,15.0,2024-09-26,45.0
Açaí com Nutella,9,20.0,2024-04-04,180.0
Açaí com Granola,3,12.0,2024-11-05,36.0
Açaí com Nutella,5,15.0,2024-05-11,75.0
Açaí Premium,9,10.0,2024-02-08,90.0
Açaí com Leite Condensado,3,12.0,2024-03-12,36.0
Açaí com Granola,7,20.0,2024-10-07,140.0
Açaí Tradicional,1,20.0,2024-11-28,20.0
Açaí com Nutella,4,10.0,2024-06-08,40.0
Açaí com Nutella,4,10.0,2024-07-05,40.0
Açaí com Nutella,7,12.0,2024-07-09,84.0
Açaí com Nutella,8,18.0,2024-04-29,144.0
Açaí Premium,1,10.0,2024-08-07,10.0
Açaí com Nutella,5,18.0,2024-02-22,90.0
Açaí com Nutella,7,15.0,2024-08-09,105.0
Açaí com Nutella,4,20.0,2024-05-10,80.0
Açaí com Granola,4,18.0,2024-08-24,72.0
Açaí com Nutella,4,20.0,2024-09-02,80.0
Açaí Premium,6,18.0,2024-08-13,108.0
Açaí com Granola,7,15.0,2024-07-26,105.0
Açaí Tradicional,2,10.0,2024-04-05,20.0
Açaí com Nutella,5,15.0,2024-07-18,75.0
Açaí Tradicional,4,10.0,2024-09-03,40.0
Açaí com Granola,3,10.0,2024-03-12,30.0
Açaí com Nutella,7,20.0,2024-11-13,140.0
Açaí com Leite Condensado,6,15.0,2024-07-03,90.0
Açaí Vegano,7,18.0,2024-01-06,126.0
Açaí com Nutella,5,15.0,2024-07-24,75.0
Açaí Premium,6,20.0,2024-02-01,120.0
Açaí com Leite Condensado,5,10.0,2024-04-08,50.0
Açaí Tradicional,7,20.0,2024-09-12,140.0
Açaí com Nutella,2,12.0,2024-07-05,24.0
Açaí com Nutella,5,12.0,2024-03-16,60.0
Açaí Premium,6,18.0,2024-06-25,108.0
Açaí com Granola,6,20.0,2024-11-10,120.0
Açaí com Granola,5,18.0,2024-10-13,90.0
Açaí Premium,7,18.0,2024-12-14,126.0
Açaí com Granola,8,12.0,2024-09-11,96.0
Açaí Tradicional,7,18.0,2024-11-20,126.0
Açaí com Nutella,5,12.0,2024-07-08,60.0
Açaí Premium,1,10.0,2024-11-03,10.0
Açaí Tradicional,5,20.0,2024-12-10,100.0
Açaí com Leite Condensado,2,18.0,2024-05-06,36.0
Açaí com Granola,5,12.0,2024-10-13,60.0
Açaí com Granola,5,15.0,2024-09-10,75.0
Açaí com Nutella,2,18.0,2024-07-31,36.0
Açaí Premium,5,10.0,2024-09-06,50.0
Açaí com Granola,4,10.0,2024-03-24,40.0
Açaí com Nutella,1,15.0,2024-01-13,15.0
Açaí Premium,3,12.0,2024-02-14,36.0
Açaí Premium,1,18.0,2024-05-06,18.0
Açaí com Nutella,5,12.0,2024-04-23,60.0
Açaí Premium,4,10.0,2024-10-02,40.0
Açaí com Nutella,7,12.0,2024-07-23,84.0
Açaí Premium,5,10.0,2024-12-02,50.0
Açaí com Nutella,4,12.0,2024-09-29,48.0
Açaí com Leite Condensado,2,15.0,2024-02-27,30.0
Açaí com Granola,4,20.0,2024-11-23,80.0
Açaí Tradicional,2,15.0,2024-08-06,30.0
Açaí Tradicional,8,15.0,2024-04-18,120.0
Açaí com Granola,3,20.0,2024-10-05,60.0
Açaí com Nutella,9,20.0,2024-06-22,180.0
Açaí com Granola,4,18.0,2024-11-23,72.0
Açaí com Granola,6,18.0,2024-09-20,108.0
Açaí Tradicional,5,15.0,2024-11-10,75.0
Açaí Premium,1,15.0,2024-04-20,15.0
Açaí com Nutella,9,10.0,2024-07-05,90.0
Açaí Premium,1,10.0,2024-09-25,10.0
Açaí Premium,8,18.0,2024-08-16,144.0
Açaí com Granola,9,18.0,2024-06-04,162.0
Açaí com Granola,9,10.0,2024-07-07,90.0
Açaí Premium,1,10.0,2024-09-28,10.0
Açaí Vegano,2,12.0,2024-01-02,24.0
Açaí com Granola,1,12.0,2024-09-02,12.0
Açaí com Nutella,2,10.0,2024-07-28,20.0
Açaí com Nutella,8,12.0,2024-10-12,96.0
Açaí com Nutella,5,20.0,2024-12-24,100.0
Açaí com Nutella,7,18.0,2024-01-13,126.0
Açaí com Nutella,2,18.0,2024-04-05,36.0
Açaí com Nutella,8,10.0,2024-08-08,80.0
Açaí Premium,6,15.0,2024-08-25,90.0
Açaí com Nutella,8,10.0,2024-04-03,80.0
Açaí com Leite Condensado,1,12.0,2024-12-03,12.0
Açaí com Nutella,1,15.0,2024-09-25,15.0
Açaí com Granola,7,12.0,2024-06-19,84.0
Açaí Premium,8,20.0,2024-04-03,160.0
Açaí Vegano,3,12.0,2024-05-28,36.0
Açaí com Nutella,5,20.0,2024-04-21,100.0
Açaí Premium,1,20.0,2024-02-24,20.0
Açaí Vegano,7,12.0,2024-12-02,84.0
Açaí com Leite Condensado,5,12.0,2024-04-25,60.0
Açaí com Leite Condensado,8,20.0,2024-05-22,160.0
Açaí Premium,8,15.0,2024-07-19,120.0
Açaí com Nutella,9,20.0,2024-06-28,180.0
Açaí Tradicional,7,18.0,2024-07-20,126.0
Açaí Vegano,1,20.0,2024-12-29,20.0
Açaí com Granola,3,15.0,2024-02-22,45.0
Açaí com Granola,8,18.0,2024-06-28,144.0
Açaí Premium,3,10.0,2024-11-08,30.0
Açaí Tradicional,8,10.0,2024-11-03,80.0
Açaí com Nutella,1,15.0,2024-05-16,15.0
Açaí Premium,5,20.0,2024-06-30,100.0
Açaí Premium,4,12.0,2024-01-01,48.0
Açaí com Granola,5,15.0,2024-02-13,75.0
Açaí com Nutella,8,18.0,2024-08-14,144.0
Açaí com Nutella,4,18.0,2024-11-26,72.0
Açaí com Granola,4,10.0,2024-04-07,40.0
Açaí Premium,3,18.0,2024-07-26,54.0
Açaí com Granola,7,15.0,2024-09-21,105.0
Açaí com Nutella,3,18.0,2024-10-14,54.0
Açaí com Granola,3,15.0,2024-09-27,45.0
Açaí com Granola,5,12.0,2024-05-19,60.0
Açaí com Nutella,5,10.0,2024-08-24,50.0
Açaí Premium,6,18.0,2024-03-12,108.0
Açaí com Nutella,8,15.0,2024-06-03,120.0
Açaí com Nutella,6,20.0,2024-07-08,120.0
Açaí Vegano,1,10.0,2024-09-24,10.0
Açaí Premium,8,12.0,2024-11-16,96.0
Açaí com Leite Condensado,8,15.0,2024-04-16,120.0
Açaí Premium,9,12.0,2024-08-19,108.0
Açaí Tradicional,9,12.0,2024-02-11,108.0
Açaí Tradicional,2,18.0,2024-07-08,36.0
Açaí com Granola,2,18.0,2024-05-18,36.0
Açaí com Granola,3,15.0,2024-04-12,45.0
Açaí Premium,1,20.0,2024-06-19,20.0
Açaí Premium,4,15.0,2024-12-16,60.0
Açaí Vegano,4,20.0,2024-09-29,80.0
Açaí com Leite Condensado,9,12.0,2024-08-08,108.0
Açaí Vegano,9,10.0,2024-07-31,90.0
Açaí com Nutella,9,15.0,2024-12-06,135.0
Açaí Tradicional,7,15.0,2024-02-25,105.0
Açaí Vegano,2,20.0,2024-12-07,40.0
Açaí com Nutella,5,12.0,2024-04-11,60.0
Açaí com Nutella,4,12.0,2024-07-10,48.0
Açaí Tradicional,8,20.0,2024-11-05,160.0
Açaí com Granola,2,12.0,2024-07-18,24.0
Açaí com Leite Condensado,6,18.0,2024-08-20,108.0
Açaí com Nutella,5,10.0,2024-08-14,50.0
Açaí Tradicional,2,15.0,2024-05-18,30.0
Açaí com Nutella,1,10.0,2024-12-09,10.0
Açaí com Nutella,8,15.0,2024-10-31,120.0
Açaí com Nutella,2,18.0,2024-05-28,36.0
Açaí com Leite Condensado,7,12.0,2024-04-24,84.0
Açaí Tradicional,9,20.0,2024-03-03,180.0
Açaí com Granola,9,18.0,2024-04-13,162.0
Açaí Premium,8,10.0,2024-12-04,80.0
Açaí com Leite Condensado,9,20.0,2024-12-24,180.0
Açaí Premium,2,12.0,2024-06-04,24.0
Açaí com Leite Condensado,6,18.0,2024-09-29,108.0
Açaí Premium,4,20.0,2024-01-06,80.0
Açaí Premium,4,18.0,2024-05-26,72.0
Açaí com Granola,5,18.0,2024-07-02,90.0
Açaí Premium,3,12.0,2024-01-28,36.0
Açaí Tradicional,1,15.0,2024-02-07,15.0
Açaí com Granola,8,20.0,2024-04-28,160.0
Açaí com Nutella,5,12.0,2024-10-19,60.0
Açaí com Leite Condensado,3,18.0,2024-08-31,54.0
Açaí Premium,7,12.0,2024-03-08,84.0
Açaí com Granola,7,15.0,2024-08-01,105.0
Açaí Vegano,1,20.0,2024-08-05,20.0
Açaí com Granola,9,15.0,2024-06-25,135.0
Açaí com Nutella,2,10.0,2024-10-25,20.0
Açaí Vegano,5,20.0,2024-06-12,100.0
Açaí com Granola,5,15.0,2024-02-27,75.0
Açaí Premium,8,18.0,2024-09-25,144.0
Açaí com Nutella,8,20.0,2024-11-03,160.0
Açaí Tradicional,7,20.0,2024-02-27,140.0
Açaí com Granola,7,12.0,2024-10-14,84.0
Açaí com Granola,6,18.0,2024-04-14,108.0
Açaí com Leite Condensado,6,10.0,2024-08-15,60.0
Açaí Tradicional,9,15.0,2024-09-03,135.0
Açaí com Nutella,6,12.0,2024-07-06,72.0
Açaí Premium,2,15.0,2024-03-23,30.0
Açaí com Nutella,2,10.0,2024-07-04,20.0
Açaí Tradicional,5,10.0,2024-09-08,50.0
Açaí com Nutella,4,20.0,2024-12-20,80.0
Açaí com Granola,2,10.0,2024-08-25,20.0
Açaí Tradicional,3,15.0,2024-12-25,45.0
Açaí com Leite Condensado,7,18.0,2024-07-02,126.0
Açaí Premium,8,18.0,2024-10-10,144.0
Açaí com Leite Condensado,6,20.0,2024-07-28,120.0
Açaí com Nutella,5,15.0,2024-10-30,75.0
Açaí com Leite Condensado,1,15.0,2024-10-22,15.0
Açaí com Nutella,8,10.0,2024-04-06,80.0
Açaí Premium,3,15.0,2024-07-26,45.0
Açaí Tradicional,6,12.0,2024-05-16,72.0
Açaí com Nutella,3,10.0,2024-07-02,30.0
Açaí com Nutella,7,12.0,2024-03-16,84.0
Açaí Tradicional,7,20.0,2024-10-13,140.0
Açaí Tradicional,9,18.0,2024-05-21,162.0
Açaí com Granola,5,20.0,2024-08-24,100.0
Açaí Tradicional,8,18.0,2024-01-25,144.0
Açaí com Granola,8,20.0,2024-10-16,160.0
Açaí Premium,1,15.0,2024-03-07,15.0
Açaí Premium,5,12.0,2024-09-06,60.0
Açaí com Nutella,3,18.0,2024-04-27,54.0
Açaí Vegano,1,10.0,2024-03-13,10.0
Açaí com Granola,4,12.0,2024-10-08,48.0
Açaí Premium,8,10.0,2024-12-25,80.0
Açaí com Granola,3,12.0,2024-01-10,36.0
Açaí Vegano,2,12.0,2024-07-29,24.0
Açaí com Nutella,9,20.0,2024-11-18,180.0
Açaí com Granola,5,18.0,2024-05-31,90.0
Açaí com Granola,7,18.0,2024-01-05,126.0
Açaí com Granola,2,12.0,2024-07-13,24.0
Açaí com Nutella,9,15.0,2024-10-09,135.0
Açaí com Leite Condensado,9,15.0,2024-04-22,135.0
Açaí Vegano,4,10.0,2024-09-27,40.0
Açaí com Granola,4,10.0,2024-06-11,40.0
Açaí Tradicional,6,20.0,2024-04-14,120.0
Açaí Vegano,6,12.0,2024-06-29,72.0
Açaí Tradicional,1,10.0,2024-02-13,10.0
Açaí com Nutella,9,10.0,2024-10-08,90.0
Açaí com Granola,2,12.0,2024-06-23,24.0
Açaí com Granola,5,20.0,2024-06-10,100.0
Açaí Premium,9,10.0,2024-12-16,90.0
Açaí Tradicional,4,20.0,2024-12-05,80.0
Açaí Vegano,3,18.0,2024-05-19,54.0
Açaí Vegano,7,20.0,2024-05-11,140.0
Açaí com Granola,6,15.0,2024-03-27,90.0
Açaí com Nutella,8,15.0,2024-06-24,120.0
Açaí Vegano,3,20.0,2024-07-01,60.0
Açaí com Leite Condensado,5,15.0,2024-05-08,75.0
Açaí com Nutella,4,18.0,2024-09-02,72.0
Açaí Vegano,4,12.0,2024-03-29,48.0
Açaí com Leite Condensado,4,15.0,2024-03-06,60.0
Açaí com Granola,8,15.0,2024-06-06,120.0
Açaí com Granola,6,20.0,2024-05-28,120.0
Açaí Premium,3,18.0,2024-12-05,54.0
Açaí com Nutella,5,12.0,2024-04-25,60.0
Açaí Premium,6,20.0,2024-08-01,120.0
Açaí com Leite Condensado,5,20.0,2024-10-20,100.0
Açaí com Nutella,6,18.0,2024-09-09,108.0
Açaí Premium,8,12.0,2024-05-22,96.0
Açaí Premium,7,18.0,2024-09-06,126.0
Açaí com Granola,5,12.0,2024-12-31,60.0
Açaí Vegano,6,18.0,2024-10-28,108.0
Açaí Premium,4,20.0,2024-01-25,80.0
Açaí Premium,9,20.0,2024-10-03,180.0
Açaí Tradicional,4,10.0,2024-03-10,40.0
Açaí com Granola,1,15.0,2024-04-22,15.0
Açaí com Nutella,7,18.0,2024-12-28,126.0
Açaí com Granola,7,10.0,2024-04-21,70.0
Açaí com Nutella,4,15.0,2024-12-29,60.0
Açaí com Nutella,3,18.0,2024-10-29,54.0
Açaí com Granola,8,12.0,2024-03-31,96.0
Açaí Premium,5,15.0,2024-01-18,75.0
Açaí Vegano,7,20.0,2024-05-28,140.0
Açaí Premium,4,10.0,2024-08-14,40.0
Açaí com Granola,4,15.0,2024-08-01,60.0
Açaí com Granola,8,15.0,2024-12-25,120.0
Açaí com Nutella,8,20.0,2024-05-30,160.0
Açaí Tradicional,2,18.0,2024-07-10,36.0
Açaí com Nutella,2,12.0,2024-02-09,24.0
Açaí Vegano,3,20.0,2024-08-29,60.0
Açaí com Nutella,3,12.0,2024-05-17,36.0
Açaí Premium,1,18.0,2024-12-10,18.0
Açaí com Nutella,3,15.0,2024-06-28,45.0
Açaí Vegano,6,12.0,2024-07-18,72.0
Açaí com Granola,8,10.0,2024-07-21,80.0
Açaí com Granola,6,10.0,2024-03-01,60.0
Açaí com Nutella,5,20.0,2024-07-10,100.0
Açaí Tradicional,4,18.0,2024-01-05,72.0
Açaí com Nutella,3,20.0,2024-08-24,60.0
Açaí com Leite Condensado,4,20.0,2024-06-29,80.0
Açaí com Nutella,7,20.0,2024-11-06,140.0
Açaí com Nutella,1,10.0,2024-02-06,10.0
Açaí com Nutella,7,10.0,2024-02-25,70.0
Açaí com Granola,1,20.0,2024-08-24,20.0
Açaí com Granola,2,10.0,2024-12-23,20.0
Açaí com Nutella,4,18.0,2024-12-14,72.0
Açaí Tradicional,1,20.0,2024-07-15,20.0
Açaí com Granola,9,10.0,2024-03-13,90.0
Açaí com Granola,6,12.0,2024-02-28,72.0
Açaí Premium,1,20.0,2024-08-27,20.0
Açaí Premium,1,20.0,2024-01-02,20.0
Açaí com Granola,6,18.0,2024-12-25,108.0
Açaí com Nutella,4,15.0,2024-07-06,60.0
Açaí com Nutella,4,15.0,2024-11-02,60.0
Açaí com Leite Condensado,6,18.0,2024-01-30,108.0
Açaí Vegano,7,18.0,2024-09-23,126.0
Açaí Premium,9,18.0,2024-04-17,162.0
Açaí Premium,5,15.0,2024-11-27,75.0
Açaí com Granola,9,18.0,2024-03-30,162.0
Açaí Premium,4,10.0,2024-07-23,40.0
Açaí com Nutella,2,20.0,2024-08-07,40.0
Açaí com Nutella,3,20.0,2024-04-03,60.0
Açaí Tradicional,1,12.0,2024-04-12,12.0
Açaí Tradicional,6,12.0,2024-08-10,72.0
Açaí com Nutella,6,20.0,2024-07-04,120.0
Açaí com Nutella,1,10.0,2024-07-02,10.0
Açaí com Nutella,3,15.0,2024-06-10,45.0
Açaí Tradicional,5,15.0,2024-09-03,75.0
Açaí com Nutella,3,10.0,2024-01-31,30.0
Açaí com Nutella,3,15.0,2024-02-21,45.0
Açaí Tradicional,3,18.0,2024-12-10,54.0
Açaí com Nutella,5,20.0,2024-03-16,100.0
Açaí Tradicional,5,20.0,2024-10-04,100.0
Açaí com Nutella,4,10.0,2024-02-09,40.0
Açaí com Nutella,1,15.0,2024-04-10,15.0
Açaí com Nutella,5,12.0,2024-04-20,60.0
Açaí Tradicional,5,12.0,2024-11-16,60.0
Açaí com Leite Condensado,4,15.0,2024-09-05,60.0
Açaí com Leite Condensado,6,12.0,2024-07-09,72.0
Açaí Premium,4,10.0,2024-06-30,40.0
Açaí Tradicional,7,10.0,2024-11-30,70.0
Açaí com Nutella,7,15.0,2024-07-27,105.0
Açaí Premium,2,12.0,2024-01-22,24.0
Açaí com Leite Condensado,3,10.0,2024-06-14,30.0
Açaí com Nutella,1,10.0,2024-04-08,10.0
Açaí com Nutella,8,18.0,2024-07-26,144.0
Açaí com Nutella,9,18.0,2024-01-08,162.0
Açaí com Nutella,4,10.0,2024-07-08,40.0
Açaí com Nutella,6,15.0,2024-06-23,90.0
Açaí com Granola,9,20.0,2024-09-29,180.0
Açaí Premium,6,20.0,2024-01-17,120.0
Açaí com Leite Condensado,9,10.0,2024-03-30,90.0
Açaí com Leite Condensado,4,10.0,2024-05-20,40.0
Açaí Premium,8,10.0,2024-05-24,80.0
Açaí Premium,9,15.0,2024-06-14,135.0
Açaí Premium,4,18.0,2024-12-02,72.0
Açaí com Granola,5,10.0,2024-03-18,50.0
Açaí Premium,8,10.0,2024-09-18,80.0
Açaí com Granola,6,12.0,2024-06-11,72.0
Açaí Premium,7,15.0,2024-12-31,105.0
Açaí com Granola,3,10.0,2024-01-14,30.0
Açaí Premium,7,12.0,2024-08-26,84.0
Açaí Premium,8,20.0,2024-03-12,160.0
Açaí Vegano,6,10.0,2024-05-22,60.0
Açaí Tradicional,9,10.0,2024-11-05,90.0
Açaí com Nutella,6,12.0,2024-10-09,72.0
Açaí com Leite Condensado,9,15.0,2024-09-25,135.0
Açaí com Granola,4,10.0,2024-08-28,40.0
Açaí com Leite Condensado,8,20.0,2024-09-01,160.0
Açaí Tradicional,4,10.0,2024-06-11,40.0
Açaí Premium,2,20.0,2024-02-29,40.0
Açaí com Nutella,9,18.0,2024-01-06,162.0
Açaí Premium,5,18.0,2024-07-15,90.0
Açaí com Granola,4,20.0,2024-02-27,80.0
Açaí com Granola,2,15.0,2024-10-31,30.0
Açaí Premium,1,10.0,2024-08-04,10.0
Açaí com Nutella,7,10.0,2024-01-26,70.0
Açaí com Leite Condensado,6,18.0,2024-10-29,108.0
Açaí Vegano,2,20.0,2024-01-05,40.0
Açaí com Granola,8,10.0,2024-01-20,80.0
Açaí com Nutella,4,10.0,2024-07-16,40.0
Açaí Premium,8,15.0,2024-02-28,120.0
Açaí com Nutella,7,12.0,2024-08-29,84.0
Açaí Vegano,5,18.0,2024-05-25,90.0
Açaí com Nutella,8,18.0,2024-09-29,144.0
Açaí com Granola,9,12.0,2024-09-05,108.0
Açaí Premium,5,10.0,2024-01-14,50.0
Açaí com Granola,5,15.0,2024-01-13,75.0
Açaí Tradicional,2,15.0,2024-02-13,30.0
Açaí com Leite Condensado,5,18.0,2024-01-19,90.0
Açaí com Nutella,3,15.0,2024-03-03,45.0
Açaí com Nutella,7,12.0,2024-08-26,84.0
Açaí com Nutella,5,10.0,2024-12-02,50.0
Açaí Vegano,8,12.0,2024-04-09,96.0
Açaí com Leite Condensado,1,20.0,2024-06-11,20.0
Açaí com Granola,3,18.0,2024-05-01,54.0
Açaí com Granola,3,15.0,2024-02-13,45.0
Açaí Tradicional,9,20.0,2024-12-25,180.0
Açaí com Nutella,5,15.0,2024-11-12,75.0
Açaí Vegano,9,10.0,2024-05-24,90.0
Açaí Premium,9,10.0,2024-11-22,90.0
Açaí Premium,1,10.0,2024-12-28,10.0
Açaí com Granola,2,15.0,2024-02-19,30.0
Açaí com Nutella,5,20.0,2024-03-05,100.0
Açaí com Nutella,4,10.0,2024-12-20,40.0
Açaí Tradicional,9,20.0,2024-10-14,180.0
Açaí com Nutella,7,15.0,2024-06-12,105.0
Açaí com Granola,6,20.0,2024-05-20,120.0
Açaí com Nutella,7,15.0,2024-11-09,105.0
Açaí Premium,1,15.0,2024-05-07,15.0
Açaí Premium,1,18.0,2024-08-26,18.0
Açaí Premium,8,15.0,2024-11-19,120.0
Açaí Tradicional,2,15.0,2024-10-22,30.0
Açaí Premium,9,12.0,2024-07-05,108.0
Açaí com Granola,7,10.0,2024-07-26,70.0
Açaí com Granola,6,18.0,2024-08-07,108.0
Açaí Tradicional,1,18.0,2024-07-08,18.0
Açaí Vegano,1,18.0,2024-12-11,18.0
Açaí Tradicional,2,12.0,2024-10-10,24.0
Açaí com Nutella,6,15.0,2024-12-17,90.0
Açaí com Nutella,6,10.0,2024-08-24,60.0
Açaí Premium,2,20.0,2024-07-12,40.0
Açaí com Granola,1,15.0,2024-10-13,15.0
Açaí com Nutella,5,12.0,2024-09-15,60.0
Açaí com Granola,5,15.0,2024-09-02,75.0
Açaí com Granola,2,15.0,2024-05-15,30.0
Açaí Premium,6,12.0,2024-10-06,72.0
Açaí Tradicional,9,18.0,2024-09-27,162.0
Açaí com Nutella,2,18.0,2024-06-19,36.0
Açaí com Nutella,2,10.0,2024-06-07,20.0
Açaí Tradicional,3,10.0,2024-07-19,30.0
Açaí com Granola,7,18.0,2024-02-14,126.0
Açaí Tradicional,6,20.0,2024-09-20,120.0
Açaí Premium,8,15.0,2024-03-11,120.0
Açaí com Nutella,8,20.0,2024-12-29,160.0
Açaí com Leite Condensado,6,15.0,2024-04-12,90.0
Açaí Tradicional,3,18.0,2024-05-04,54.0
Açaí Tradicional,3,10.0,2024-11-08,30.0
Açaí Premium,1,10.0,2024-10-12,10.0
Açaí com Granola,7,20.0,2024-08-17,140.0
Açaí Premium,5,10.0,2024-05-25,50.0
Açaí com Nutella,4,18.0,2024-07-15,72.0
Açaí Vegano,4,20.0,2024-08-08,80.0
Açaí com Nutella,4,15.0,2024-02-29,60.0
Açaí Vegano,6,10.0,2024-04-07,60.0
Açaí Premium,8,12.0,2024-06-19,96.0
Açaí com Nutella,8,10.0,2024-06-21,80.0
Açaí com Granola,5,15.0,2024-05-30,75.0
Açaí com Leite Condensado,6,20.0,2024-12-15,120.0
Açaí Tradicional,4,15.0,2024-05-01,60.0
Açaí com Leite Condensado,9,12.0,2024-04-17,108.0
Açaí Tradicional,8,18.0,2024-01-04,144.0
Açaí Tradicional,1,10.0,2024-04-02,10.0
Açaí com Leite Condensado,2,20.0,2024-01-06,40.0
Açaí com Nutella,9,18.0,2024-10-14,162.0
Açaí com Granola,8,15.0,2024-04-15,120.0
Açaí com Nutella,3,20.0,2024-05-25,60.0
Açaí Vegano,8,18.0,2024-09-27,144.0
Açaí Vegano,1,20.0,2024-04-05,20.0
Açaí com Nutella,4,12.0,2024-08-16,48.0
Açaí Tradicional,3,12.0,2024-07-20,36.0
Açaí Vegano,6,10.0,2024-07-30,60.0
Açaí com Nutella,7,10.0,2024-01-06,70.0
Açaí com Granola,4,12.0,2024-04-21,48.0
Açaí Vegano,7,20.0,2024-11-18,140.0
Açaí com Nutella,9,12.0,2024-04-15,108.0
Açaí Tradicional,2,10.0,2024-05-18,20.0
Açaí Premium,3,12.0,2024-10-25,36.0
Açaí Vegano,5,12.0,2024-04-05,60.0
Açaí Vegano,3,20.0,2024-12-02,60.0
Açaí Vegano,8,18.0,2024-10-23,144.0
Açaí com Granola,8,10.0,2024-08-01,80.0
Açaí com Leite Condensado,8,20.0,2024-10-17,160.0
Açaí com Leite Condensado,9,12.0,2024-01-22,108.0
Açaí Premium,4,12.0,2024-07-11,48.0
Açaí com Leite Condensado,5,18.0,2024-05-29,90.0
Açaí com Nutella,5,10.0,2024-09-03,50.0
Açaí com Granola,8,10.0,2024-09-23,80.0
Açaí com Nutella,7,15.0,2024-09-07,105.0
Açaí com Nutella,9,10.0,2024-01-03,90.0
Açaí com Nutella,8,18.0,2024-11-11,144.0
Açaí Tradicional,2,15.0,2024-03-16,30.0
Açaí Premium,4,15.0,2024-03-27,60.0
Açaí Tradicional,6,12.0,2024-09-26,72.0
Açaí com Nutella,2,12.0,2024-08-12,24.0
Açaí Premium,7,10.0,2024-01-18,70.0
Açaí com Granola,3,15.0,2024-04-22,45.0
Açaí Tradicional,3,12.0,2024-09-07,36.0
Açaí Premium,2,18.0,2024-08-20,36.0
Açaí com Granola,8,12.0,2024-11-24,96.0
Açaí com Leite Condensado,6,12.0,2024-10-05,72.0
Açaí com Granola,1,15.0,2024-07-20,15.0
Açaí com Nutella,1,15.0,2024-03-23,15.0
Açaí com Nutella,7,20.0,2024-05-04,140.0
